;   
;  IMD Data
;   
;  Saved on Wed Aug 27 15:25:28 2025
;   
;  Structure: 
;   
;  [Ti/C] multilayer, N=10, d=173.00 A, Gamma=0.312
;      Ti layer (1), rho=4.550 g/cm3, z=54.00 A, sigma[Ti]=4.00 A
;      C layer (2), rho=2.200 g/cm3, z=119.00 A, sigma=4.00 A
;  Si substrate, rho=2.330 g/cm3
;   
;  
;   
;  Theta=0.400 deg
;   
;  E [eV] 	R
       3000.0000       0.93444179
       3010.0000       0.93446326
       3020.0000       0.93448669
       3030.0000       0.93451046
       3040.0000       0.93452465
       3050.0000       0.93454068
       3060.0000       0.93455855
       3070.0000       0.93457710
       3080.0000       0.93458631
       3090.0000       0.93459701
       3100.0000       0.93460944
       3110.0000       0.93462250
       3120.0000       0.93462706
       3130.0000       0.93463281
       3140.0000       0.93463992
       3150.0000       0.93464868
       3160.0000       0.93464726
       3170.0000       0.93464737
       3180.0000       0.93464860
       3190.0000       0.93465106
       3200.0000       0.93464453
       3210.0000       0.93463826
       3220.0000       0.93463341
       3230.0000       0.93462968
       3240.0000       0.93461804
       3250.0000       0.93460554
       3260.0000       0.93459432
       3270.0000       0.93458444
       3280.0000       0.93456972
       3290.0000       0.93454976
       3300.0000       0.93453097
       3310.0000       0.93451337
       3320.0000       0.93449374
       3330.0000       0.93446782
       3340.0000       0.93444227
       3350.0000       0.93441772
       3360.0000       0.93439422
       3370.0000       0.93436133
       3380.0000       0.93432817
       3390.0000       0.93429551
       3400.0000       0.93426344
       3410.0000       0.93422684
       3420.0000       0.93418554
       3430.0000       0.93414503
       3440.0000       0.93410521
       3450.0000       0.93406445
       3460.0000       0.93401496
       3470.0000       0.93396611
       3480.0000       0.93391788
       3490.0000       0.93387024
       3500.0000       0.93381588
       3510.0000       0.93375705
       3520.0000       0.93369863
       3530.0000       0.93364069
       3540.0000       0.93358315
       3550.0000       0.93351526
       3560.0000       0.93344698
       3570.0000       0.93337886
       3580.0000       0.93331101
       3590.0000       0.93323893
       3600.0000       0.93316032
       3610.0000       0.93308165
       3620.0000       0.93300234
       3630.0000       0.93292301
       3640.0000       0.93283643
       3650.0000       0.93274661
       3660.0000       0.93265663
       3670.0000       0.93256620
       3680.0000       0.93247498
       3690.0000       0.93237188
       3700.0000       0.93226840
       3710.0000       0.93216443
       3720.0000       0.93205998
       3730.0000       0.93195356
       3740.0000       0.93183548
       3750.0000       0.93171669
       3760.0000       0.93159712
       3770.0000       0.93147668
       3780.0000       0.93135234
       3790.0000       0.93121956
       3800.0000       0.93108510
       3810.0000       0.93094953
       3820.0000       0.93081270
       3830.0000       0.93067102
       3840.0000       0.93051944
       3850.0000       0.93036608
       3860.0000       0.93021045
       3870.0000       0.93005309
       3880.0000       0.92989045
       3890.0000       0.92971755
       3900.0000       0.92954255
       3910.0000       0.92936543
       3920.0000       0.92918510
       3930.0000       0.92899907
       3940.0000       0.92880271
       3950.0000       0.92860364
       3960.0000       0.92840174
       3970.0000       0.92819697
       3980.0000       0.92798708
       3990.0000       0.92776272
       4000.0000       0.92753485
       4010.0000       0.92730337
       4020.0000       0.92706808
       4030.0000       0.92682890
       4040.0000       0.92657372
       4050.0000       0.92631225
       4060.0000       0.92604608
       4070.0000       0.92577509
       4080.0000       0.92549903
       4090.0000       0.92520785
       4100.0000       0.92490676
       4110.0000       0.92459889
       4120.0000       0.92428446
       4130.0000       0.92396347
       4140.0000       0.92363180
       4150.0000       0.92328388
       4160.0000       0.92292823
       4170.0000       0.92256441
       4180.0000       0.92219104
       4190.0000       0.92180878
       4200.0000       0.92140289
       4210.0000       0.92098537
       4220.0000       0.92055732
       4230.0000       0.92011816
       4240.0000       0.91966690
       4250.0000       0.91919378
       4260.0000       0.91869863
       4270.0000       0.91818950
       4280.0000       0.91766553
       4290.0000       0.91712594
       4300.0000       0.91656989
       4310.0000       0.91597939
       4320.0000       0.91536742
       4330.0000       0.91473526
       4340.0000       0.91408173
       4350.0000       0.91340541
       4360.0000       0.91269817
       4370.0000       0.91194892
       4380.0000       0.91117054
       4390.0000       0.91036109
       4400.0000       0.90951913
       4410.0000       0.90864225
       4420.0000       0.90771082
       4430.0000       0.90672660
       4440.0000       0.90569749
       4450.0000       0.90461891
       4460.0000       0.90348647
       4470.0000       0.90229647
       4480.0000       0.90101397
       4490.0000       0.89965332
       4500.0000       0.89821471
       4510.0000       0.89669008
       4520.0000       0.89506958
       4530.0000       0.89334151
       4540.0000       0.89144077
       4550.0000       0.88940212
       4560.0000       0.88720751
       4570.0000       0.88483548
       4580.0000       0.88226021
       4590.0000       0.87944108
       4600.0000       0.87625589
       4610.0000       0.87273464
       4620.0000       0.86881332
       4630.0000       0.86440959
       4640.0000       0.85941595
       4650.0000       0.85366751
       4660.0000       0.84675927
       4670.0000       0.83857254
       4680.0000       0.82868398
       4690.0000       0.81647168
       4700.0000       0.80099859
       4710.0000       0.78085369
       4720.0000       0.75259837
       4730.0000       0.71425729
       4740.0000       0.66469814
       4750.0000       0.61047060
       4760.0000       0.56807966
       4770.0000       0.54514559
       4780.0000       0.52658358
       4790.0000       0.49688627
       4800.0000       0.45282604
       4810.0000       0.40253636
       4820.0000       0.36044033
       4830.0000       0.33845742
       4840.0000       0.33745567
       4850.0000       0.34767877
       4860.0000       0.35328415
       4870.0000       0.34621993
       4880.0000       0.32564996
       4890.0000       0.29507222
       4900.0000       0.25046125
       4910.0000       0.20625228
       4920.0000       0.20295729
       4930.0000       0.21067235
       4940.0000       0.20638730
       4950.0000       0.18929994
       4960.0000       0.16818677
       4970.0000      0.058305362
       4980.0000      0.067483123
       4990.0000      0.078763587
       5000.0000      0.092470990
       5010.0000       0.10878516
       5020.0000       0.12772616
       5030.0000       0.14018464
       5040.0000       0.13990590
       5050.0000       0.13961547
       5060.0000       0.13931357
       5070.0000       0.13899944
       5080.0000       0.13867279
       5090.0000       0.13833200
       5100.0000       0.13696516
       5110.0000       0.13548712
       5120.0000       0.13401367
       5130.0000       0.13254753
       5140.0000       0.13109313
       5150.0000       0.12965550
       5160.0000       0.12815747
       5170.0000       0.12636588
       5180.0000       0.12463129
       5190.0000       0.12296265
       5200.0000       0.12136862
       5210.0000       0.11985564
       5220.0000       0.11842831
       5230.0000       0.11699549
       5240.0000       0.11556523
       5250.0000       0.11422795
       5260.0000       0.11297368
       5270.0000       0.11178887
       5280.0000       0.11065694
       5290.0000       0.10955904
       5300.0000       0.10841218
       5310.0000       0.10721616
       5320.0000       0.10599153
       5330.0000       0.10471941
       5340.0000       0.10338471
       5350.0000       0.10197703
       5360.0000       0.10049146
       5370.0000      0.098872896
       5380.0000      0.097159760
       5390.0000      0.095390799
       5400.0000      0.093587154
       5410.0000      0.091774243
       5420.0000      0.089981749
       5430.0000      0.088241334
       5440.0000      0.086548491
       5450.0000      0.084960381
       5460.0000      0.083522386
       5470.0000      0.082257633
       5480.0000      0.081182249
       5490.0000      0.080303860
       5500.0000      0.079620267
       5510.0000      0.079105268
       5520.0000      0.078745113
       5530.0000      0.078519606
       5540.0000      0.078390653
       5550.0000      0.078314797
       5560.0000      0.078245549
       5570.0000      0.078135847
       5580.0000      0.077931617
       5590.0000      0.077584715
       5600.0000      0.077072210
       5610.0000      0.076367218
       5620.0000      0.075452882
       5630.0000      0.074323259
       5640.0000      0.072984125
       5650.0000      0.071449991
       5660.0000      0.069727051
       5670.0000      0.067879051
       5680.0000      0.065954773
       5690.0000      0.064009919
       5700.0000      0.062104820
       5710.0000      0.060301568
       5720.0000      0.058661147
       5730.0000      0.057227190
       5740.0000      0.056061735
       5750.0000      0.055206815
       5760.0000      0.054687363
       5770.0000      0.054512696
       5780.0000      0.054675861
       5790.0000      0.055153370
       5800.0000      0.055904648
       5810.0000      0.056874909
       5820.0000      0.058001497
       5830.0000      0.059210016
       5840.0000      0.060421435
       5850.0000      0.061555710
       5860.0000      0.062535801
       5870.0000      0.063290910
       5880.0000      0.063751869
       5890.0000      0.063871017
       5900.0000      0.063616258
       5910.0000      0.062968558
       5920.0000      0.061925976
       5930.0000      0.060504300
       5940.0000      0.058736702
       5950.0000      0.056673489
       5960.0000      0.054364263
       5970.0000      0.051906429
       5980.0000      0.049392991
       5990.0000      0.046925327
       6000.0000      0.044609619
       6010.0000      0.042552143
       6020.0000      0.040854123
       6030.0000      0.039604712
       6040.0000      0.038879292
       6050.0000      0.038737803
       6060.0000      0.039209914
       6070.0000      0.040297445
       6080.0000      0.041973035
       6090.0000      0.044180551
       6100.0000      0.046837230
       6110.0000      0.049837607
       6120.0000      0.053057370
       6130.0000      0.056359647
       6140.0000      0.059602556
       6150.0000      0.062645434
       6160.0000      0.065354384
       6170.0000      0.067607683
       6180.0000      0.069300284
       6190.0000      0.070343191
       6200.0000      0.070670696
       6210.0000      0.070253145
       6220.0000      0.069083409
       6230.0000      0.067183662
       6240.0000      0.064606519
       6250.0000      0.061436056
       6260.0000      0.057787754
       6270.0000      0.053804392
       6280.0000      0.049658185
       6290.0000      0.045563176
       6300.0000      0.041744702
       6310.0000      0.038441711
       6320.0000      0.035896402
       6330.0000      0.034341598
       6340.0000      0.033985708
       6350.0000      0.034996661
       6360.0000      0.037489686
       6370.0000      0.041508928
       6380.0000      0.047020331
       6390.0000      0.053909378
       6400.0000      0.061984398
       6410.0000      0.070985994
       6420.0000      0.080601434
       6430.0000      0.090482171
       6440.0000       0.10025989
       6450.0000       0.10956665
       6460.0000       0.11805198
       6470.0000       0.12539280
       6480.0000       0.13130192
       6490.0000       0.13553354
       6500.0000       0.13788712
       6510.0000       0.13821141
