NODAL DISPLACEMENTS
--------------------------------
Project: ID20-ID up

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000000,     0.300000000,     0.000000000, 0.000000000E+00, 0.334291258E-04,-0.147496215E-05
     0.000000000,     0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
     0.000000000,     0.600000000,     0.000000000, 0.000000000E+00, 0.657548844E-04,-0.617205139E-05
     3.979591837,     0.600000000,     0.000000000, 0.196307160E-03, 0.657548565E-04,-0.639650036E-05
     7.959183673,     0.600000000,     0.000000000, 0.392631927E-03, 0.657543597E-04,-0.707104346E-05
    11.938775510,     0.600000000,     0.000000000, 0.588989365E-03, 0.657532452E-04,-0.819411465E-05
    15.918367350,     0.600000000,     0.000000000, 0.785397808E-03, 0.657529094E-04,-0.975839203E-05
    19.897959180,     0.600000000,     0.000000000, 0.981877702E-03, 0.657524536E-04,-0.117633104E-04
    23.877551020,     0.600000000,     0.000000000, 0.117844368E-02, 0.657506718E-04,-0.142078487E-04
    27.857142860,     0.600000000,     0.000000000, 0.137511282E-02, 0.657496638E-04,-0.170796119E-04
    31.836734690,     0.600000000,     0.000000000, 0.157190766E-02, 0.657492144E-04,-0.203722679E-04
    35.816326530,     0.600000000,     0.000000000, 0.176884497E-02, 0.657476676E-04,-0.240829058E-04
    39.795918370,     0.600000000,     0.000000000, 0.196594271E-02, 0.657471303E-04,-0.281962237E-04
    43.775510200,     0.600000000,     0.000000000, 0.216322569E-02, 0.657476073E-04,-0.327025879E-04
    47.755102040,     0.600000000,     0.000000000, 0.236071236E-02, 0.657468471E-04,-0.375980406E-04
    51.734693880,     0.600000000,     0.000000000, 0.255842148E-02, 0.657470051E-04,-0.428643058E-04
    55.714285710,     0.600000000,     0.000000000, 0.275637907E-02, 0.657483192E-04,-0.484872473E-04
    59.693877550,     0.600000000,     0.000000000, 0.295460783E-02, 0.657494000E-04,-0.544570170E-04
    63.673469390,     0.600000000,     0.000000000, 0.315313090E-02, 0.657513410E-04,-0.607555793E-04
    67.653061220,     0.600000000,     0.000000000, 0.335197607E-02, 0.657543014E-04,-0.673664320E-04
    71.632653060,     0.600000000,     0.000000000, 0.355117099E-02, 0.657577158E-04,-0.742746324E-04
    75.612244900,     0.600000000,     0.000000000, 0.375074506E-02, 0.657619483E-04,-0.814620181E-04
    79.591836730,     0.600000000,     0.000000000, 0.395073087E-02, 0.657667268E-04,-0.889115505E-04
    83.571428570,     0.600000000,     0.000000000, 0.415116297E-02, 0.657718162E-04,-0.966060468E-04
    87.551020410,     0.600000000,     0.000000000, 0.435207939E-02, 0.657770346E-04,-0.104527953E-03
    91.530612240,     0.600000000,     0.000000000, 0.455352245E-02, 0.657820273E-04,-0.112660609E-03
    95.510204080,     0.600000000,     0.000000000, 0.475554010E-02, 0.657864711E-04,-0.120988677E-03
    99.489795920,     0.600000000,     0.000000000, 0.495818627E-02, 0.657892913E-04,-0.129501206E-03
   103.469387800,     0.600000000,     0.000000000, 0.516152116E-02, 0.657893540E-04,-0.138190367E-03
   107.448979600,     0.600000000,     0.000000000, 0.536561458E-02, 0.657855223E-04,-0.147052614E-03
   111.428571400,     0.600000000,     0.000000000, 0.557054610E-02, 0.657756414E-04,-0.156093189E-03
   115.408163300,     0.600000000,     0.000000000, 0.577640759E-02, 0.657582336E-04,-0.165323522E-03
   119.387755100,     0.600000000,     0.000000000, 0.598330763E-02, 0.657309774E-04,-0.174769091E-03
   123.367346900,     0.600000000,     0.000000000, 0.619136925E-02, 0.656901799E-04,-0.184474506E-03
   127.346938800,     0.600000000,     0.000000000, 0.640073285E-02, 0.656331379E-04,-0.194500977E-03
   131.326530600,     0.600000000,     0.000000000, 0.661155917E-02, 0.655561718E-04,-0.204937426E-03
   135.306122400,     0.600000000,     0.000000000, 0.682402505E-02, 0.654548004E-04,-0.215906984E-03
   139.285714300,     0.600000000,     0.000000000, 0.703832163E-02, 0.653249878E-04,-0.227569822E-03
   143.265306100,     0.600000000,     0.000000000, 0.725464904E-02, 0.651619582E-04,-0.240133114E-03
   147.244898000,     0.600000000,     0.000000000, 0.747320668E-02, 0.649611826E-04,-0.253854719E-03
   151.224489800,     0.600000000,     0.000000000, 0.769418287E-02, 0.647180094E-04,-0.269048742E-03
   155.204081600,     0.600000000,     0.000000000, 0.791773897E-02, 0.644270185E-04,-0.286089054E-03
   159.183673500,     0.600000000,     0.000000000, 0.814399700E-02, 0.640837526E-04,-0.305403758E-03
   163.163265300,     0.600000000,     0.000000000, 0.837302962E-02, 0.636821633E-04,-0.327480836E-03
   167.142857100,     0.600000000,     0.000000000, 0.860484717E-02, 0.632132333E-04,-0.352871267E-03
   171.122449000,     0.600000000,     0.000000000, 0.883939587E-02, 0.626646810E-04,-0.382193881E-03
   175.102040800,     0.600000000,     0.000000000, 0.907656135E-02, 0.620156507E-04,-0.416169438E-03
   179.081632700,     0.600000000,     0.000000000, 0.931617465E-02, 0.612255471E-04,-0.455693303E-03
   183.061224500,     0.600000000,     0.000000000, 0.955801012E-02, 0.602275369E-04,-0.501968295E-03
   187.040816300,     0.600000000,     0.000000000, 0.980181625E-02, 0.588167305E-04,-0.556960577E-03
   191.020408200,     0.600000000,     0.000000000, 0.100469587E-01, 0.564942093E-04,-0.624450726E-03
   195.000000000,     0.600000000,     0.000000000, 0.102917822E-01, 0.488388618E-04,-0.718606837E-03
     3.979591837,     0.300000000,     0.000000000, 0.196307468E-03, 0.334290149E-04,-0.169966517E-05
     7.959183673,     0.300000000,     0.000000000, 0.392632563E-03, 0.334286402E-04,-0.237502976E-05
    11.938775510,     0.300000000,     0.000000000, 0.588990299E-03, 0.334279255E-04,-0.349960399E-05
    15.918367350,     0.300000000,     0.000000000, 0.785399025E-03, 0.334275866E-04,-0.506551661E-05
    19.897959180,     0.300000000,     0.000000000, 0.981879267E-03, 0.334271081E-04,-0.707257172E-05
    23.877551020,     0.300000000,     0.000000000, 0.117844557E-02, 0.334257993E-04,-0.952030367E-05
    27.857142860,     0.300000000,     0.000000000, 0.137511499E-02, 0.334249069E-04,-0.123953927E-04
    31.836734690,     0.300000000,     0.000000000, 0.157191017E-02, 0.334242692E-04,-0.156916486E-04
    35.816326530,     0.300000000,     0.000000000, 0.176884781E-02, 0.334229098E-04,-0.194069605E-04
    39.795918370,     0.300000000,     0.000000000, 0.196594583E-02, 0.334220654E-04,-0.235250900E-04
    43.775510200,     0.300000000,     0.000000000, 0.216322917E-02, 0.334217374E-04,-0.280364085E-04
    47.755102040,     0.300000000,     0.000000000, 0.236071620E-02, 0.334205737E-04,-0.329380485E-04
    51.734693880,     0.300000000,     0.000000000, 0.255842562E-02, 0.334198725E-04,-0.382107272E-04
    55.714285710,     0.300000000,     0.000000000, 0.275638356E-02, 0.334197722E-04,-0.438402732E-04
    59.693877550,     0.300000000,     0.000000000, 0.295461268E-02, 0.334193828E-04,-0.498175352E-04
    63.673469390,     0.300000000,     0.000000000, 0.315313608E-02, 0.334193793E-04,-0.561239691E-04
    67.653061220,     0.300000000,     0.000000000, 0.335198161E-02, 0.334198969E-04,-0.627430190E-04
    71.632653060,     0.300000000,     0.000000000, 0.355117688E-02, 0.334205457E-04,-0.696600195E-04
    75.612244900,     0.300000000,     0.000000000, 0.375075131E-02, 0.334215534E-04,-0.768565953E-04
    79.591836730,     0.300000000,     0.000000000, 0.395073748E-02, 0.334227795E-04,-0.843157943E-04
    83.571428570,     0.300000000,     0.000000000, 0.415116996E-02, 0.334241040E-04,-0.920204501E-04
    87.551020410,     0.300000000,     0.000000000, 0.435208675E-02, 0.334254384E-04,-0.999529732E-04
    91.530612240,     0.300000000,     0.000000000, 0.455353019E-02, 0.334265997E-04,-0.108096697E-03
    95.510204080,     0.300000000,     0.000000000, 0.475554822E-02, 0.334274589E-04,-0.116436165E-03
    99.489795920,     0.300000000,     0.000000000, 0.495819481E-02, 0.334274724E-04,-0.124960554E-03
   103.469387800,     0.300000000,     0.000000000, 0.516153012E-02, 0.334260367E-04,-0.133662078E-03
   107.448979600,     0.300000000,     0.000000000, 0.536562400E-02, 0.334226091E-04,-0.142537085E-03
   111.428571400,     0.300000000,     0.000000000, 0.557055602E-02, 0.334160858E-04,-0.151591078E-03
