NODAL DISPLACEMENTS
--------------------------------
Project: ID20-ID up

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000000,     0.300000000,     0.000000000, 0.000000000E+00, 0.124624927E-04,-0.522507790E-06
     0.000000000,     0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
     0.000000000,     0.600000000,     0.000000000, 0.000000000E+00, 0.245298491E-04,-0.217819061E-05
     3.979591837,     0.600000000,     0.000000000, 0.764455056E-04, 0.245296935E-04,-0.226405580E-05
     7.959183673,     0.600000000,     0.000000000, 0.152897160E-03, 0.245290996E-04,-0.252205935E-05
    11.938775510,     0.600000000,     0.000000000, 0.229360262E-03, 0.245279634E-04,-0.295184192E-05
    15.918367350,     0.600000000,     0.000000000, 0.305840900E-03, 0.245266709E-04,-0.355115143E-05
    19.897959180,     0.600000000,     0.000000000, 0.382345922E-03, 0.245250272E-04,-0.431929081E-05
    23.877551020,     0.600000000,     0.000000000, 0.458880567E-03, 0.245226725E-04,-0.525558066E-05
    27.857142860,     0.600000000,     0.000000000, 0.535450812E-03, 0.245202427E-04,-0.635577721E-05
    31.836734690,     0.600000000,     0.000000000, 0.612064432E-03, 0.245176503E-04,-0.761759778E-05
    35.816326530,     0.600000000,     0.000000000, 0.688727068E-03, 0.245142700E-04,-0.903998721E-05
    39.795918370,     0.600000000,     0.000000000, 0.765444787E-03, 0.245108799E-04,-0.106171067E-04
    43.775510200,     0.600000000,     0.000000000, 0.842226229E-03, 0.245075233E-04,-0.123450566E-04
    47.755102040,     0.600000000,     0.000000000, 0.919077921E-03, 0.245034456E-04,-0.142219687E-04
    51.734693880,     0.600000000,     0.000000000, 0.996006508E-03, 0.244993765E-04,-0.162410726E-04
    55.714285710,     0.600000000,     0.000000000, 0.107302116E-02, 0.244953783E-04,-0.183970745E-04
    59.693877550,     0.600000000,     0.000000000, 0.115012989E-02, 0.244909943E-04,-0.206860848E-04
    63.673469390,     0.600000000,     0.000000000, 0.122734094E-02, 0.244866113E-04,-0.231013022E-04
    67.653061220,     0.600000000,     0.000000000, 0.130466431E-02, 0.244822536E-04,-0.256366535E-04
    71.632653060,     0.600000000,     0.000000000, 0.138210968E-02, 0.244776479E-04,-0.282867292E-04
    75.612244900,     0.600000000,     0.000000000, 0.145968738E-02, 0.244729657E-04,-0.310444801E-04
    79.591836730,     0.600000000,     0.000000000, 0.153740908E-02, 0.244681577E-04,-0.339032384E-04
    83.571428570,     0.600000000,     0.000000000, 0.161528726E-02, 0.244631549E-04,-0.368563246E-04
    87.551020410,     0.600000000,     0.000000000, 0.169333575E-02, 0.244578817E-04,-0.398971812E-04
    91.530612240,     0.600000000,     0.000000000, 0.177156973E-02, 0.244521193E-04,-0.430197512E-04
    95.510204080,     0.600000000,     0.000000000, 0.185000632E-02, 0.244457939E-04,-0.462180431E-04
    99.489795920,     0.600000000,     0.000000000, 0.192866497E-02, 0.244385274E-04,-0.494876355E-04
   103.469387800,     0.600000000,     0.000000000, 0.200756744E-02, 0.244299522E-04,-0.528251841E-04
   107.448979600,     0.600000000,     0.000000000, 0.208673908E-02, 0.244196876E-04,-0.562290152E-04
   111.428571400,     0.600000000,     0.000000000, 0.216620869E-02, 0.244069309E-04,-0.597008307E-04
   115.408163300,     0.600000000,     0.000000000, 0.224600936E-02, 0.243911237E-04,-0.632445777E-04
   119.387755100,     0.600000000,     0.000000000, 0.232618019E-02, 0.243714154E-04,-0.668691249E-04
   123.367346900,     0.600000000,     0.000000000, 0.240676537E-02, 0.243465072E-04,-0.705903170E-04
