NODAL DISPLACEMENTS
--------------------------------
Project: ID20-ID Upgrade,DCM Nodal Displacement

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
    -3.826708893,     0.000000000,     0.000000000, 0.125790450E-04, 0.118662481E-05,-0.118447335E-03
    -5.546782536,     0.000000000,     0.000000000, 0.174372516E-04, 0.103743281E-05,-0.114440016E-03
    -5.189613698,     0.000000000,     0.000000000, 0.164627459E-04, 0.106538441E-05,-0.115063857E-03
    -4.896427509,     0.000000000,     0.000000000, 0.156600159E-04, 0.108835958E-05,-0.115626575E-03
    -4.674952014,     0.000000000,     0.000000000, 0.150506138E-04, 0.110620183E-05,-0.116090940E-03
    -4.493165783,     0.000000000,     0.000000000, 0.145479334E-04, 0.112072010E-05,-0.116504546E-03
    -4.343972065,     0.000000000,     0.000000000, 0.141319769E-04, 0.113318158E-05,-0.116871204E-03
    -4.221643027,     0.000000000,     0.000000000, 0.137869867E-04, 0.114357140E-05,-0.117194661E-03
    -4.121403443,     0.000000000,     0.000000000, 0.134994968E-04, 0.115278199E-05,-0.117478522E-03
    -4.038993705,     0.000000000,     0.000000000, 0.132578103E-04, 0.116068133E-05,-0.117726673E-03
    -3.971114331,     0.000000000,     0.000000000, 0.130529892E-04, 0.116788604E-05,-0.117942973E-03
    -3.915230050,     0.000000000,     0.000000000, 0.128780918E-04, 0.117443615E-05,-0.118130393E-03
    -3.868020502,     0.000000000,     0.000000000, 0.127234020E-04, 0.118060106E-05,-0.118296148E-03
     0.000000000,    -0.400000000,     0.000000000,-0.511278344E-05, 0.474620204E-05,-0.122967967E-03
     0.000000000,    -0.442670663,     0.000000000,-0.510873289E-05, 0.504249834E-05,-0.122849182E-03
     0.000000000,    -0.494626348,     0.000000000,-0.510366038E-05, 0.538589321E-05,-0.122706757E-03
     0.000000000,    -0.557863132,     0.000000000,-0.509734535E-05, 0.578499558E-05,-0.122535962E-03
    -3.826708893,    -0.400000000,     0.000000000, 0.123308769E-04, 0.355948394E-05,-0.118113987E-03
    -3.786572083,    -0.400000000,     0.000000000, 0.121803965E-04, 0.360063253E-05,-0.118236657E-03
    -3.746435273,    -0.400000000,     0.000000000, 0.120248174E-04, 0.363991304E-05,-0.118356356E-03
    -3.706298462,    -0.400000000,     0.000000000, 0.118656085E-04, 0.367727293E-05,-0.118473294E-03
    -3.666161652,    -0.400000000,     0.000000000, 0.117034276E-04, 0.371273341E-05,-0.118587343E-03
    -3.626024841,    -0.400000000,     0.000000000, 0.115388259E-04, 0.374659591E-05,-0.118698903E-03
    -3.585888031,    -0.400000000,     0.000000000, 0.113720425E-04, 0.377885503E-05,-0.118807804E-03
    -3.545751220,    -0.400000000,     0.000000000, 0.112034891E-04, 0.380949883E-05,-0.118914112E-03
    -3.505614410,    -0.400000000,     0.000000000, 0.110333559E-04, 0.383863253E-05,-0.119018143E-03
    -3.465477599,    -0.400000000,     0.000000000, 0.108617906E-04, 0.386657149E-05,-0.119119644E-03
    -3.425340789,    -0.400000000,     0.000000000, 0.106890882E-04, 0.389315952E-05,-0.119218909E-03
    -3.385203978,    -0.400000000,     0.000000000, 0.105152621E-04, 0.391857604E-05,-0.119315927E-03
    -3.345067168,    -0.400000000,     0.000000000, 0.103404309E-04, 0.394293164E-05,-0.119410792E-03
    -3.304930358,    -0.400000000,     0.000000000, 0.101648581E-04, 0.396633229E-05,-0.119503714E-03
    -3.264793547,    -0.400000000,     0.000000000, 0.998845343E-05, 0.398875614E-05,-0.119594517E-03
    -3.224656737,    -0.400000000,     0.000000000, 0.981129765E-05, 0.401026564E-05,-0.119683443E-03
    -3.184519926,    -0.400000000,     0.000000000, 0.963358253E-05, 0.403094487E-05,-0.119770435E-03
    -3.144383116,    -0.400000000,     0.000000000, 0.945523404E-05, 0.405096262E-05,-0.119855626E-03
    -3.104246305,    -0.400000000,     0.000000000, 0.927646658E-05, 0.407021690E-05,-0.119938953E-03
    -3.064109495,    -0.400000000,     0.000000000, 0.909711475E-05, 0.408878755E-05,-0.120020668E-03
    -3.023972684,    -0.400000000,     0.000000000, 0.891734387E-05, 0.410663841E-05,-0.120100786E-03
