NODAL DISPLACEMENTS
--------------------------------
Project: ID20-ID Upgrade,DCM Nodal Displacement

Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
    -3.826708893,     0.000000000,     0.000000000, 0.803025877E-05, 0.738184719E-06,-0.756848550E-04
    -5.546782536,     0.000000000,     0.000000000, 0.111395037E-04, 0.645000919E-06,-0.732007078E-04
    -5.189613698,     0.000000000,     0.000000000, 0.105150654E-04, 0.662457605E-06,-0.735878090E-04
    -4.896427509,     0.000000000,     0.000000000, 0.100006816E-04, 0.676813562E-06,-0.739368461E-04
    -4.674952014,     0.000000000,     0.000000000, 0.961022353E-05, 0.687961551E-06,-0.742247583E-04
    -4.493165783,     0.000000000,     0.000000000, 0.928821221E-05, 0.697030157E-06,-0.744810954E-04
    -4.343972065,     0.000000000,     0.000000000, 0.902188072E-05, 0.704802267E-06,-0.747082531E-04
    -4.221643027,     0.000000000,     0.000000000, 0.880115777E-05, 0.711270159E-06,-0.749085963E-04
    -4.121403443,     0.000000000,     0.000000000, 0.861744619E-05, 0.716996036E-06,-0.750844292E-04
    -4.038993705,     0.000000000,     0.000000000, 0.846313788E-05, 0.721938579E-06,-0.752383194E-04
    -3.971114331,     0.000000000,     0.000000000, 0.833232359E-05, 0.726466536E-06,-0.753724945E-04
    -3.915230050,     0.000000000,     0.000000000, 0.822067597E-05, 0.730572026E-06,-0.754886401E-04
    -3.868020502,     0.000000000,     0.000000000, 0.812207183E-05, 0.734427222E-06,-0.755912866E-04
     0.000000000,    -0.400000000,     0.000000000,-0.315284301E-05, 0.297402555E-05,-0.784931942E-04
     0.000000000,    -0.442670663,     0.000000000,-0.315032856E-05, 0.316010328E-05,-0.784186476E-04
     0.000000000,    -0.494626348,     0.000000000,-0.314717991E-05, 0.337564600E-05,-0.783294731E-04
     0.000000000,    -0.557863132,     0.000000000,-0.314326114E-05, 0.362611836E-05,-0.782227816E-04
    -3.826708893,    -0.400000000,     0.000000000, 0.787707179E-05, 0.223142775E-05,-0.754790326E-04
    -3.786572083,    -0.400000000,     0.000000000, 0.778151474E-05, 0.225693864E-05,-0.755551876E-04
    -3.746435273,    -0.400000000,     0.000000000, 0.768279313E-05, 0.228128165E-05,-0.756294600E-04
    -3.706298462,    -0.400000000,     0.000000000, 0.758183160E-05, 0.230443520E-05,-0.757019975E-04
    -3.666161652,    -0.400000000,     0.000000000, 0.747903688E-05, 0.232641947E-05,-0.757727248E-04
    -3.626024841,    -0.400000000,     0.000000000, 0.737475170E-05, 0.234742737E-05,-0.758419040E-04
    -3.585888031,    -0.400000000,     0.000000000, 0.726911930E-05, 0.236745712E-05,-0.759094268E-04
