NODAL DISPLACEMENTS
--------------------------------
Displacements of nodes in beam FP, 300mm long version

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000000,     0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
     0.000000000,     0.500000000,     0.000000000, 0.841945469E-09, 0.444192187E-04,-0.266609275E-05
  -150.000000000,     0.500000000,     0.000000000,-0.671676868E-02, 0.277388210E-04,-0.167515460E-03
  -150.000000000,     0.000000000,     0.000000000,-0.672120324E-02,-0.254724396E-04,-0.166431229E-03
   150.000000000,     0.000000000,     0.000000000, 0.672073299E-02,-0.255219889E-04,-0.166530593E-03
   150.000000000,     0.500000000,     0.000000000, 0.671632375E-02, 0.276700944E-04,-0.167583848E-03
     0.000000000,    -0.500000000,     0.000000000,-0.271068753E-09,-0.448682057E-04,-0.539540256E-05
  -150.000000000,    -0.500000000,     0.000000000,-0.671484779E-02,-0.786040290E-04,-0.169978222E-03
   150.000000000,    -0.500000000,     0.000000000, 0.671442887E-02,-0.786286509E-04,-0.170089925E-03
     0.107156915,    -0.399798636,     0.000000000, 0.439766995E-05,-0.361733366E-04,-0.369097026E-05
     0.108286296,    -0.299847742,     0.000000000, 0.444394508E-05,-0.272754115E-04,-0.230469147E-05
     0.109415677,    -0.199896848,     0.000000000, 0.449038022E-05,-0.182505754E-04,-0.122276070E-05
     0.110545057,    -0.099945953,     0.000000000, 0.453656327E-05,-0.914191148E-05,-0.449917642E-06
     0.229627644,    -0.399798801,     0.000000000, 0.942366315E-05,-0.361793722E-04,-0.369132160E-05
     0.231923179,    -0.299847868,     0.000000000, 0.951768832E-05,-0.272750225E-04,-0.230455217E-05
     0.234218715,    -0.199896934,     0.000000000, 0.961224005E-05,-0.182499895E-04,-0.122292411E-05
     0.236514251,    -0.099945998,     0.000000000, 0.970650033E-05,-0.914331797E-05,-0.449933890E-06
     0.391694742,    -0.399799018,     0.000000000, 0.160731422E-04,-0.361718079E-04,-0.369231607E-05
     0.396074419,    -0.299848035,     0.000000000, 0.162544327E-04,-0.272787825E-04,-0.230604730E-05
     0.400454097,    -0.199897048,     0.000000000, 0.164348388E-04,-0.182480249E-04,-0.122082260E-05
     0.404833775,    -0.099946059,     0.000000000, 0.166146391E-04,-0.914211130E-05,-0.451416456E-06
     0.609521862,    -0.399799311,     0.000000000, 0.250179309E-04,-0.361726639E-04,-0.369645703E-05
     0.617291137,    -0.299848259,     0.000000000, 0.253327832E-04,-0.272737336E-04,-0.230251108E-05
     0.625060413,    -0.199897203,     0.000000000, 0.256521497E-04,-0.182442844E-04,-0.122477808E-05
     0.632829689,    -0.099946141,     0.000000000, 0.259715570E-04,-0.914420255E-05,-0.457691996E-06
     0.902518043,    -0.399799705,     0.000000000, 0.370375823E-04,-0.361722889E-04,-0.370046111E-05
     0.915530160,    -0.299848562,     0.000000000, 0.375693423E-04,-0.272671338E-04,-0.230321934E-05
     0.928542278,    -0.199897412,     0.000000000, 0.381052063E-04,-0.182471299E-04,-0.122921262E-05
     0.941554397,    -0.099946252,     0.000000000, 0.386419194E-04,-0.914369557E-05,-0.452027638E-06
     1.291244770,    -0.399800227,     0.000000000, 0.529804093E-04,-0.361687449E-04,-0.371015247E-05
     1.311247333,    -0.299848964,     0.000000000, 0.538244067E-04,-0.272917601E-04,-0.231158587E-05
     1.331249898,    -0.199897689,     0.000000000, 0.546375735E-04,-0.182639362E-04,-0.122038351E-05
     1.351252465,    -0.099946400,     0.000000000, 0.554522344E-04,-0.914183575E-05,-0.430780843E-06
     1.756327293,    -0.399800851,     0.000000000, 0.720638782E-04,-0.361459066E-04,-0.372820610E-05
     1.780970294,    -0.299849441,     0.000000000, 0.730670592E-04,-0.272700871E-04,-0.231806734E-05
     1.805613299,    -0.199898015,     0.000000000, 0.740904783E-04,-0.182524125E-04,-0.123546551E-05
     1.830256308,    -0.099946573,     0.000000000, 0.751080002E-04,-0.914336492E-05,-0.450180243E-06
     2.259039602,    -0.399801527,     0.000000000, 0.927111288E-04,-0.361561982E-04,-0.367707693E-05
     2.285276949,    -0.299849954,     0.000000000, 0.937764937E-04,-0.272697883E-04,-0.230220820E-05
     2.311514301,    -0.199898363,     0.000000000, 0.948480355E-04,-0.182474019E-04,-0.120589013E-05
     2.337751657,    -0.099946756,     0.000000000, 0.959314621E-04,-0.914418697E-05,-0.425929137E-06
     2.768488185,    -0.399802211,     0.000000000, 0.113594223E-03,-0.361632765E-04,-0.363275912E-05
     2.794635790,    -0.299850471,     0.000000000, 0.114685887E-03,-0.272707894E-04,-0.223081345E-05
     2.820783400,    -0.199898714,     0.000000000, 0.115753118E-03,-0.182450912E-04,-0.116302103E-05
     2.846931014,    -0.099946939,     0.000000000, 0.116823115E-03,-0.913881377E-05,-0.388340187E-06
     3.277936769,    -0.399802896,     0.000000000, 0.134501775E-03,-0.361774738E-04,-0.361169529E-05
     3.303994632,    -0.299850989,     0.000000000, 0.135582207E-03,-0.272935647E-04,-0.221900820E-05
     3.330052499,    -0.199899064,     0.000000000, 0.136653703E-03,-0.182557527E-04,-0.110791241E-05
     3.356110371,    -0.099947123,     0.000000000, 0.137723986E-03,-0.913157427E-05,-0.325527030E-06
     3.787385354,    -0.399803580,     0.000000000, 0.155417100E-03,-0.361488902E-04,-0.361928369E-05
     3.813353474,    -0.299851506,     0.000000000, 0.156474132E-03,-0.272655124E-04,-0.219775624E-05
     3.839321599,    -0.199899415,     0.000000000, 0.157540346E-03,-0.182497575E-04,-0.109844716E-05
     3.865289728,    -0.099947307,     0.000000000, 0.158617484E-03,-0.914206382E-05,-0.315853193E-06
     4.296833941,    -0.399804264,     0.000000000, 0.176338454E-03,-0.361384947E-04,-0.354074972E-05
     4.322712318,    -0.299852023,     0.000000000, 0.177409314E-03,-0.272627819E-04,-0.213522463E-05
     4.348590700,    -0.199899765,     0.000000000, 0.178452034E-03,-0.182432327E-04,-0.105441934E-05
     4.374469086,    -0.099947490,     0.000000000, 0.179508672E-03,-0.914173361E-05,-0.272843252E-06
     4.806282529,    -0.399804949,     0.000000000, 0.197237349E-03,-0.361642441E-04,-0.347608470E-05
     4.832071163,    -0.299852541,     0.000000000, 0.198289403E-03,-0.272666387E-04,-0.205876118E-05
