NODAL DISPLACEMENTS
--------------------------------
Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000004,     0.500000000,     0.000000000, 0.200062153E-06, 0.673540954E-05,-0.220913429E-05
   -28.451289796,     0.500000000,     0.000000000,-0.209204955E-03, 0.391738204E-04, 0.641343343E-04
     0.000000004,    -0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
   -28.451289796,     0.000000000,     0.000000000,-0.207013026E-03, 0.220430819E-04, 0.702893655E-04
     0.000000004,    -0.500000000,     0.000000000,-0.193181227E-06,-0.665030623E-05, 0.687461733E-06
   -28.451289796,    -0.500000000,     0.000000000,-0.208417270E-03, 0.545340222E-05, 0.671723111E-04
    49.881198984,    -0.000000000,     0.000000000, 0.241228395E-03, 0.319224953E-05,-0.114816670E-03
    49.881198984,    -0.500000000,     0.000000000, 0.241263960E-03, 0.115393274E-05,-0.113447448E-03
    49.881198984,     0.500000000,     0.000000000, 0.241184599E-03, 0.523704169E-05,-0.116212851E-03
    49.770509384,     0.099962340,     0.000000000, 0.240857635E-03, 0.358979865E-05,-0.114901548E-03
    49.659816914,     0.099962350,     0.000000000, 0.240494019E-03, 0.357819216E-05,-0.114709578E-03
    49.549118824,     0.099962370,     0.000000000, 0.240129711E-03, 0.356639868E-05,-0.114517664E-03
    49.438412914,     0.099962380,     0.000000000, 0.239764840E-03, 0.355443217E-05,-0.114325704E-03
    49.327696884,     0.099962390,     0.000000000, 0.239399461E-03, 0.354231077E-05,-0.114133620E-03
    49.216968244,     0.099962410,     0.000000000, 0.239033598E-03, 0.353004497E-05,-0.113941349E-03
    49.106224684,     0.099962420,     0.000000000, 0.238667262E-03, 0.351764160E-05,-0.113748842E-03
    48.995464334,     0.099962430,     0.000000000, 0.238300458E-03, 0.350510816E-05,-0.113556061E-03
    48.884682474,     0.099962450,     0.000000000, 0.237933179E-03, 0.349244739E-05,-0.113362968E-03
    48.773877914,     0.099962460,     0.000000000, 0.237565424E-03, 0.347966584E-05,-0.113169536E-03
    48.663049944,     0.099962480,     0.000000000, 0.237197194E-03, 0.346676347E-05,-0.112975751E-03
    48.552188994,     0.099962490,     0.000000000, 0.236828460E-03, 0.345374359E-05,-0.112781566E-03
    48.441225224,     0.099962500,     0.000000000, 0.236458989E-03, 0.344060071E-05,-0.112586851E-03
    48.330087474,     0.099962520,     0.000000000, 0.236088543E-03, 0.342732596E-05,-0.112391459E-03
    48.218740234,     0.099962530,     0.000000000, 0.235716999E-03, 0.341392070E-05,-0.112195316E-03
    48.107163934,     0.099962540,     0.000000000, 0.235344287E-03, 0.340037863E-05,-0.111998372E-03
    47.995333704,     0.099962560,     0.000000000, 0.234970322E-03, 0.338669934E-05,-0.111800586E-03
    47.883238944,     0.099962570,     0.000000000, 0.234595062E-03, 0.337287776E-05,-0.111601910E-03
    47.770894044,     0.099962590,     0.000000000, 0.234218556E-03, 0.335892255E-05,-0.111402367E-03
    47.658292994,     0.099962600,     0.000000000, 0.233840779E-03, 0.334482984E-05,-0.111201939E-03
    47.545430064,     0.099962610,     0.000000000, 0.233461708E-03, 0.333059661E-05,-0.111000602E-03
    47.432299724,     0.099962630,     0.000000000, 0.233081322E-03, 0.331622833E-05,-0.110798335E-03
    47.318896534,     0.099962640,     0.000000000, 0.232699600E-03, 0.330171889E-05,-0.110595120E-03
    47.205214974,     0.099962650,     0.000000000, 0.232316514E-03, 0.328706812E-05,-0.110390933E-03
    47.091240664,     0.099962670,     0.000000000, 0.231932011E-03, 0.327227820E-05,-0.110185742E-03
    46.976938564,     0.099962680,     0.000000000, 0.231545965E-03, 0.325734202E-05,-0.109979475E-03
    46.862339954,     0.099962700,     0.000000000, 0.231158481E-03, 0.324226001E-05,-0.109772181E-03
    46.747439544,     0.099962710,     0.000000000, 0.230769531E-03, 0.322703843E-05,-0.109563840E-03
    46.632232034,     0.099962720,     0.000000000, 0.230379098E-03, 0.321167139E-05,-0.109354436E-03
    46.516712094,     0.099962740,     0.000000000, 0.229987157E-03, 0.319616064E-05,-0.109143952E-03
    46.400875264,     0.099962750,     0.000000000, 0.229593688E-03, 0.318049817E-05,-0.108932369E-03
    46.284727414,     0.099962770,     0.000000000, 0.229198708E-03, 0.316469157E-05,-0.108719682E-03
    46.168310974,     0.099962780,     0.000000000, 0.228802356E-03, 0.314875206E-05,-0.108505967E-03
    46.051775154,     0.099962800,     0.000000000, 0.228405129E-03, 0.313268589E-05,-0.108291483E-03
    45.935239334,     0.099962810,     0.000000000, 0.228007432E-03, 0.311652105E-05,-0.108076451E-03
    45.818703504,     0.099962820,     0.000000000, 0.227609264E-03, 0.310025297E-05,-0.107860865E-03
    45.702167684,     0.099962840,     0.000000000, 0.227210622E-03, 0.308388676E-05,-0.107644724E-03
    45.585631864,     0.099962850,     0.000000000, 0.226811506E-03, 0.306742244E-05,-0.107428026E-03
    45.469096034,     0.099962870,     0.000000000, 0.226411916E-03, 0.305085041E-05,-0.107210768E-03
    45.352560214,     0.099962880,     0.000000000, 0.226011851E-03, 0.303418854E-05,-0.106992943E-03
    45.236024384,     0.099962900,     0.000000000, 0.225611309E-03, 0.301742050E-05,-0.106774546E-03
    45.119488564,     0.099962910,     0.000000000, 0.225210288E-03, 0.300055503E-05,-0.106555568E-03
    45.002952734,     0.099962920,     0.000000000, 0.224808782E-03, 0.298360011E-05,-0.106336006E-03
    44.886416914,     0.099962940,     0.000000000, 0.224406787E-03, 0.296654632E-05,-0.106115861E-03
    44.769881084,     0.099962950,     0.000000000, 0.224004301E-03, 0.294939721E-05,-0.105895126E-03
    44.653345264,     0.099962970,     0.000000000, 0.223601321E-03, 0.293215209E-05,-0.105673809E-03
    44.536809434,     0.099962980,     0.000000000, 0.223197847E-03, 0.291481521E-05,-0.105451898E-03
    44.420273614,     0.099963000,     0.000000000, 0.222793878E-03, 0.289737856E-05,-0.105229391E-03
    44.303737784,     0.099963010,     0.000000000, 0.222389415E-03, 0.287985790E-05,-0.105006290E-03
    44.187201964,     0.099963020,     0.000000000, 0.221984452E-03, 0.286224080E-05,-0.104782581E-03
    44.070666134,     0.099963040,     0.000000000, 0.221578995E-03, 0.284453220E-05,-0.104558264E-03
    43.954130304,     0.099963050,     0.000000000, 0.221173029E-03, 0.282673620E-05,-0.104333335E-03
    43.837594484,     0.099963070,     0.000000000, 0.220766554E-03, 0.280885220E-05,-0.104107787E-03
    43.721058654,     0.099963080,     0.000000000, 0.220359564E-03, 0.279087501E-05,-0.103881621E-03
    43.604522824,     0.099963100,     0.000000000, 0.219952058E-03, 0.277281289E-05,-0.103654837E-03
    43.487987004,     0.099963110,     0.000000000, 0.219544037E-03, 0.275466438E-05,-0.103427432E-03
    43.371451174,     0.099963130,     0.000000000, 0.219135500E-03, 0.273642734E-05,-0.103199403E-03
    43.254915344,     0.099963140,     0.000000000, 0.218726441E-03, 0.271810117E-05,-0.102970746E-03
    43.138379524,     0.099963150,     0.000000000, 0.218316865E-03, 0.269969536E-05,-0.102741464E-03
    43.021843694,     0.099963170,     0.000000000, 0.217906765E-03, 0.268119808E-05,-0.102511538E-03
    42.905307864,     0.099963180,     0.000000000, 0.217496141E-03, 0.266262644E-05,-0.102280973E-03
    42.788772034,     0.099963200,     0.000000000, 0.217084979E-03, 0.264396064E-05,-0.102049755E-03
    42.672236214,     0.099963210,     0.000000000, 0.216673280E-03, 0.262523313E-05,-0.101817893E-03
    42.555700384,     0.099963230,     0.000000000, 0.216261040E-03, 0.260641304E-05,-0.101585383E-03
    42.439164554,     0.099963240,     0.000000000, 0.215848258E-03, 0.258750955E-05,-0.101352223E-03
    42.322628724,     0.099963250,     0.000000000, 0.215434933E-03, 0.256853177E-05,-0.101118417E-03
    42.206092894,     0.099963270,     0.000000000, 0.215021063E-03, 0.254947283E-05,-0.100883953E-03
    42.089557064,     0.099963280,     0.000000000, 0.214606645E-03, 0.253034316E-05,-0.100648835E-03
    41.973021234,     0.099963300,     0.000000000, 0.214191685E-03, 0.251113297E-05,-0.100413053E-03
    41.856485414,     0.099963310,     0.000000000, 0.213776164E-03, 0.249183325E-05,-0.100176596E-03
    41.739949584,     0.099963330,     0.000000000, 0.213360092E-03, 0.247247745E-05,-0.999394635E-04
    41.623413754,     0.099963340,     0.000000000, 0.212943443E-03, 0.245305096E-05,-0.997016570E-04
    41.506877924,     0.099963350,     0.000000000, 0.212526231E-03, 0.243354352E-05,-0.994631782E-04
    41.390342094,     0.099963370,     0.000000000, 0.212108442E-03, 0.241395965E-05,-0.992240257E-04
    41.273806264,     0.099963380,     0.000000000, 0.211690086E-03, 0.239431061E-05,-0.989842028E-04
    41.157270434,     0.099963400,     0.000000000, 0.211271150E-03, 0.237459011E-05,-0.987436978E-04
    41.040734604,     0.099963410,     0.000000000, 0.210851646E-03, 0.235480231E-05,-0.985025082E-04
    40.924198774,     0.099963430,     0.000000000, 0.210431560E-03, 0.233494582E-05,-0.982606322E-04
    40.807662944,     0.099963440,     0.000000000, 0.210010892E-03, 0.231501397E-05,-0.980180582E-04
    40.691127114,     0.099963450,     0.000000000, 0.209589635E-03, 0.229502945E-05,-0.977747797E-04
    40.574591284,     0.099963470,     0.000000000, 0.209167779E-03, 0.227498500E-05,-0.975308053E-04
    40.458055454,     0.099963480,     0.000000000, 0.208745321E-03, 0.225486190E-05,-0.972861295E-04
    40.341519624,     0.099963500,     0.000000000, 0.208322257E-03, 0.223468557E-05,-0.970407597E-04
    40.224983784,     0.099963510,     0.000000000, 0.207898590E-03, 0.221443418E-05,-0.967946947E-04
