NODAL DISPLACEMENTS
--------------------------------
Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000004,     0.500000000,     0.000000000, 0.565873782E-07, 0.539693873E-05,-0.200832049E-05
   -28.451289796,     0.500000000,     0.000000000,-0.127316705E-03, 0.173933495E-04,-0.269673510E-04
     0.000000004,    -0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
   -28.451289796,     0.000000000,     0.000000000,-0.127770056E-03, 0.144426847E-04,-0.256362549E-04
     0.000000004,    -0.500000000,     0.000000000,-0.530067420E-07,-0.531593810E-05, 0.530061934E-06
   -28.451289796,    -0.500000000,     0.000000000,-0.127988669E-03, 0.115080501E-04,-0.246082285E-04
    49.881198984,    -0.000000000,     0.000000000, 0.166898291E-03, 0.222492943E-04,-0.843153331E-04
    49.881198984,    -0.500000000,     0.000000000, 0.167165090E-03, 0.208440347E-04,-0.831385836E-04
    49.881198984,     0.500000000,     0.000000000, 0.166620887E-03, 0.236590439E-04,-0.855177297E-04
    49.770509384,     0.099962340,     0.000000000, 0.166608535E-03, 0.224667401E-04,-0.843953808E-04
    49.659816914,     0.099962350,     0.000000000, 0.166372567E-03, 0.224018680E-04,-0.842373184E-04
    49.549118824,     0.099962370,     0.000000000, 0.166136035E-03, 0.223368351E-04,-0.840794153E-04
    49.438412914,     0.099962380,     0.000000000, 0.165899071E-03, 0.222716545E-04,-0.839215718E-04
    49.327696884,     0.099962390,     0.000000000, 0.165661732E-03, 0.222063431E-04,-0.837637094E-04
    49.216968244,     0.099962410,     0.000000000, 0.165424045E-03, 0.221409101E-04,-0.836057681E-04
    49.106224684,     0.099962420,     0.000000000, 0.165186025E-03, 0.220753615E-04,-0.834476997E-04
    48.995464334,     0.099962430,     0.000000000, 0.164947678E-03, 0.220097039E-04,-0.832894684E-04
    48.884682474,     0.099962450,     0.000000000, 0.164709002E-03, 0.219439376E-04,-0.831310366E-04
    48.773877914,     0.099962460,     0.000000000, 0.164470000E-03, 0.218780690E-04,-0.829723780E-04
    48.663049944,     0.099962480,     0.000000000, 0.164230671E-03, 0.218120973E-04,-0.828134803E-04
    48.552188994,     0.099962490,     0.000000000, 0.163990999E-03, 0.217460219E-04,-0.826543009E-04
    48.441225224,     0.099962500,     0.000000000, 0.163750834E-03, 0.216798035E-04,-0.824947295E-04
    48.330087474,     0.099962520,     0.000000000, 0.163510019E-03, 0.216133999E-04,-0.823346448E-04
    48.218740234,     0.099962530,     0.000000000, 0.163268475E-03, 0.215467951E-04,-0.821739837E-04
    48.107163934,     0.099962540,     0.000000000, 0.163026154E-03, 0.214799743E-04,-0.820127032E-04
    47.995333704,     0.099962560,     0.000000000, 0.162783003E-03, 0.214129251E-04,-0.818507718E-04
    47.883238944,     0.099962570,     0.000000000, 0.162538994E-03, 0.213456379E-04,-0.816881464E-04
    47.770894044,     0.099962590,     0.000000000, 0.162294158E-03, 0.212781284E-04,-0.815248455E-04
    47.658292994,     0.099962600,     0.000000000, 0.162048479E-03, 0.212103902E-04,-0.813608551E-04
    47.545430064,     0.099962610,     0.000000000, 0.161801941E-03, 0.211424179E-04,-0.811961530E-04
    47.432299724,     0.099962630,     0.000000000, 0.161554533E-03, 0.210742148E-04,-0.810307212E-04
    47.318896534,     0.099962640,     0.000000000, 0.161306238E-03, 0.210057720E-04,-0.808645446E-04
    47.205214974,     0.099962650,     0.000000000, 0.161057039E-03, 0.209370876E-04,-0.806976030E-04
    47.091240664,     0.099962670,     0.000000000, 0.160806900E-03, 0.208681569E-04,-0.805298688E-04
    46.976938564,     0.099962680,     0.000000000, 0.160555738E-03, 0.207989569E-04,-0.803612837E-04
    46.862339954,     0.099962700,     0.000000000, 0.160303620E-03, 0.207295030E-04,-0.801918879E-04
    46.747439544,     0.099962710,     0.000000000, 0.160050528E-03, 0.206597991E-04,-0.800216636E-04
    46.632232034,     0.099962720,     0.000000000, 0.159796452E-03, 0.205898375E-04,-0.798505979E-04
    46.516712094,     0.099962740,     0.000000000, 0.159541375E-03, 0.205196178E-04,-0.796786769E-04
    46.400875264,     0.099962750,     0.000000000, 0.159285282E-03, 0.204491302E-04,-0.795058845E-04
    46.284727414,     0.099962770,     0.000000000, 0.159028187E-03, 0.203783854E-04,-0.793322142E-04
    46.168310974,     0.099962780,     0.000000000, 0.158770177E-03, 0.203074150E-04,-0.791577299E-04
    46.051775154,     0.099962800,     0.000000000, 0.158511575E-03, 0.202362961E-04,-0.789826418E-04
    45.935239334,     0.099962810,     0.000000000, 0.158252642E-03, 0.201651134E-04,-0.788071293E-04
    45.818703504,     0.099962820,     0.000000000, 0.157993380E-03, 0.200938624E-04,-0.786311875E-04
    45.702167684,     0.099962840,     0.000000000, 0.157733786E-03, 0.200225481E-04,-0.784548163E-04
    45.585631864,     0.099962850,     0.000000000, 0.157473857E-03, 0.199511709E-04,-0.782780132E-04
    45.469096034,     0.099962870,     0.000000000, 0.157213597E-03, 0.198797213E-04,-0.781007753E-04
    45.352560214,     0.099962880,     0.000000000, 0.156953003E-03, 0.198082171E-04,-0.779230964E-04
    45.236024384,     0.099962900,     0.000000000, 0.156692074E-03, 0.197366425E-04,-0.777449722E-04
    45.119488564,     0.099962910,     0.000000000, 0.156430809E-03, 0.196650058E-04,-0.775663929E-04
    45.002952734,     0.099962920,     0.000000000, 0.156169201E-03, 0.195933153E-04,-0.773873564E-04
    44.886416914,     0.099962940,     0.000000000, 0.155907246E-03, 0.195215620E-04,-0.772078632E-04
    44.769881084,     0.099962950,     0.000000000, 0.155644944E-03, 0.194497491E-04,-0.770279082E-04
    44.653345264,     0.099962970,     0.000000000, 0.155382291E-03, 0.193778764E-04,-0.768474981E-04
    44.536809434,     0.099962980,     0.000000000, 0.155119288E-03, 0.193059481E-04,-0.766666227E-04
    44.420273614,     0.099963000,     0.000000000, 0.154855933E-03, 0.192339564E-04,-0.764852789E-04
    44.303737784,     0.099963010,     0.000000000, 0.154592227E-03, 0.191619169E-04,-0.763034694E-04
    44.187201964,     0.099963020,     0.000000000, 0.154328168E-03, 0.190898176E-04,-0.761211805E-04
    44.070666134,     0.099963040,     0.000000000, 0.154063757E-03, 0.190176636E-04,-0.759384120E-04
    43.954130304,     0.099963050,     0.000000000, 0.153798982E-03, 0.189454590E-04,-0.757551618E-04
    43.837594484,     0.099963070,     0.000000000, 0.153533844E-03, 0.188732032E-04,-0.755714216E-04
    43.721058654,     0.099963080,     0.000000000, 0.153268336E-03, 0.188008914E-04,-0.753871943E-04
    43.604522824,     0.099963100,     0.000000000, 0.153002457E-03, 0.187285318E-04,-0.752024782E-04
    43.487987004,     0.099963110,     0.000000000, 0.152736210E-03, 0.186561231E-04,-0.750172716E-04
    43.371451174,     0.099963130,     0.000000000, 0.152469591E-03, 0.185836633E-04,-0.748315721E-04
    43.254915344,     0.099963140,     0.000000000, 0.152202598E-03, 0.185111518E-04,-0.746453747E-04
    43.138379524,     0.099963150,     0.000000000, 0.151935234E-03, 0.184385986E-04,-0.744586845E-04
    43.021843694,     0.099963170,     0.000000000, 0.151667493E-03, 0.183659917E-04,-0.742714818E-04
    42.905307864,     0.099963180,     0.000000000, 0.151399375E-03, 0.182933483E-04,-0.740837719E-04
    42.788772034,     0.099963200,     0.000000000, 0.151130866E-03, 0.182206488E-04,-0.738955418E-04
    42.672236214,     0.099963210,     0.000000000, 0.150861969E-03, 0.181479259E-04,-0.737067999E-04
    42.555700384,     0.099963230,     0.000000000, 0.150592678E-03, 0.180751486E-04,-0.735175428E-04
    42.439164554,     0.099963240,     0.000000000, 0.150322994E-03, 0.180023266E-04,-0.733277691E-04
    42.322628724,     0.099963250,     0.000000000, 0.150052914E-03, 0.179294688E-04,-0.731374827E-04
    42.206092894,     0.099963270,     0.000000000, 0.149782439E-03, 0.178565686E-04,-0.729466715E-04
    42.089557064,     0.099963280,     0.000000000, 0.149511565E-03, 0.177836364E-04,-0.727553416E-04
    41.973021234,     0.099963300,     0.000000000, 0.149240297E-03, 0.177106628E-04,-0.725634811E-04
    41.856485414,     0.099963310,     0.000000000, 0.148968619E-03, 0.176376389E-04,-0.723710800E-04
    41.739949584,     0.099963330,     0.000000000, 0.148696540E-03, 0.175645979E-04,-0.721781396E-04
    41.623413754,     0.099963340,     0.000000000, 0.148424033E-03, 0.174915257E-04,-0.719846602E-04
    41.506877924,     0.099963350,     0.000000000, 0.148151114E-03, 0.174184122E-04,-0.717906440E-04
    41.390342094,     0.099963370,     0.000000000, 0.147877770E-03, 0.173452618E-04,-0.715960899E-04
    41.273806264,     0.099963380,     0.000000000, 0.147604008E-03, 0.172720862E-04,-0.714010017E-04
    41.157270434,     0.099963400,     0.000000000, 0.147329819E-03, 0.171988789E-04,-0.712053683E-04
    41.040734604,     0.099963410,     0.000000000, 0.147055212E-03, 0.171256444E-04,-0.710091871E-04
    40.924198774,     0.099963430,     0.000000000, 0.146780176E-03, 0.170523814E-04,-0.708124566E-04
    40.807662944,     0.099963440,     0.000000000, 0.146504710E-03, 0.169790836E-04,-0.706151661E-04
    40.691127114,     0.099963450,     0.000000000, 0.146228807E-03, 0.169057732E-04,-0.704173088E-04
