NODAL DISPLACEMENTS
--------------------------------
Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000004,     0.500000000,     0.000000000, 0.101769388E-06, 0.417766746E-05,-0.144673045E-05
   -28.451289796,     0.500000000,     0.000000000,-0.118736710E-03, 0.209895875E-04, 0.213998991E-04
     0.000000004,    -0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
   -28.451289796,     0.000000000,     0.000000000,-0.117909907E-03, 0.129998953E-04, 0.243173315E-04
     0.000000004,    -0.500000000,     0.000000000,-0.979165227E-07,-0.411937347E-05, 0.397020592E-06
   -28.451289796,    -0.500000000,     0.000000000,-0.118557648E-03, 0.524111777E-05, 0.232525446E-04
    49.881198984,    -0.000000000,     0.000000000, 0.140081954E-03, 0.583703055E-05,-0.693295963E-04
    49.881198984,    -0.500000000,     0.000000000, 0.140145859E-03, 0.467169079E-05,-0.684632514E-04
    49.881198984,     0.500000000,     0.000000000, 0.140015038E-03, 0.700596483E-05,-0.702090489E-04
    49.770509384,     0.099962340,     0.000000000, 0.139861147E-03, 0.605419946E-05,-0.693920069E-04
    49.659816914,     0.099962350,     0.000000000, 0.139653009E-03, 0.603755178E-05,-0.692796402E-04
    49.549118824,     0.099962370,     0.000000000, 0.139444519E-03, 0.602080095E-05,-0.691672396E-04
    49.438412914,     0.099962380,     0.000000000, 0.139235731E-03, 0.600395282E-05,-0.690547593E-04
    49.327696884,     0.099962390,     0.000000000, 0.139026670E-03, 0.598701528E-05,-0.689421629E-04
    49.216968244,     0.099962410,     0.000000000, 0.138817346E-03, 0.596999258E-05,-0.688294223E-04
    49.106224684,     0.099962420,     0.000000000, 0.138607763E-03, 0.595288767E-05,-0.687165148E-04
    48.995464334,     0.099962430,     0.000000000, 0.138397921E-03, 0.593570355E-05,-0.686034232E-04
    48.884682474,     0.099962450,     0.000000000, 0.138187816E-03, 0.591844102E-05,-0.684901280E-04
    48.773877914,     0.099962460,     0.000000000, 0.137977447E-03, 0.590110280E-05,-0.683766167E-04
    48.663049944,     0.099962480,     0.000000000, 0.137766815E-03, 0.588368874E-05,-0.682628832E-04
    48.552188994,     0.099962490,     0.000000000, 0.137555900E-03, 0.586619936E-05,-0.681489042E-04
    48.441225224,     0.099962500,     0.000000000, 0.137344572E-03, 0.584862490E-05,-0.680346029E-04
    48.330087474,     0.099962520,     0.000000000, 0.137132693E-03, 0.583095388E-05,-0.679198965E-04
    48.218740234,     0.099962530,     0.000000000, 0.136920194E-03, 0.581318281E-05,-0.678047419E-04
    48.107163934,     0.099962540,     0.000000000, 0.136707034E-03, 0.579530708E-05,-0.676891115E-04
    47.995333704,     0.099962560,     0.000000000, 0.136493166E-03, 0.577732354E-05,-0.675729802E-04
    47.883238944,     0.099962570,     0.000000000, 0.136278565E-03, 0.575922869E-05,-0.674563237E-04
    47.770894044,     0.099962590,     0.000000000, 0.136063259E-03, 0.574102778E-05,-0.673391541E-04
    47.658292994,     0.099962600,     0.000000000, 0.135847234E-03, 0.572271838E-05,-0.672214619E-04
    47.545430064,     0.099962610,     0.000000000, 0.135630477E-03, 0.570429860E-05,-0.671032337E-04
    47.432299724,     0.099962630,     0.000000000, 0.135412977E-03, 0.568576994E-05,-0.669844581E-04
    47.318896534,     0.099962640,     0.000000000, 0.135194720E-03, 0.566712895E-05,-0.668651245E-04
    47.205214974,     0.099962650,     0.000000000, 0.134975693E-03, 0.564837515E-05,-0.667452206E-04
    47.091240664,     0.099962670,     0.000000000, 0.134755864E-03, 0.562950756E-05,-0.666247268E-04
    46.976938564,     0.099962680,     0.000000000, 0.134535163E-03, 0.561051920E-05,-0.665036017E-04
    46.862339954,     0.099962700,     0.000000000, 0.134313648E-03, 0.559141361E-05,-0.663818744E-04
    46.747439544,     0.099962710,     0.000000000, 0.134091305E-03, 0.557219277E-05,-0.662595330E-04
    46.632232034,     0.099962720,     0.000000000, 0.133868124E-03, 0.555285334E-05,-0.661365686E-04
    46.516712094,     0.099962740,     0.000000000, 0.133644091E-03, 0.553339546E-05,-0.660129708E-04
    46.400875264,     0.099962750,     0.000000000, 0.133419194E-03, 0.551381493E-05,-0.658887293E-04
