NODAL DISPLACEMENTS
--------------------------------
Displacements of nodes in beam FP

           X(mm),           Y(mm),           Z(mm),          UX(mm),          UY(mm),          UZ(mm)
     0.000000004,     0.500000000,     0.000000000, 0.372315180E-07, 0.360470994E-05,-0.137253687E-05
   -28.451289796,     0.500000000,     0.000000000,-0.819250606E-04, 0.114462756E-04,-0.190846846E-04
     0.000000004,    -0.000000000,     0.000000000, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
   -28.451289796,     0.000000000,     0.000000000,-0.822084180E-04, 0.960207251E-05,-0.182133224E-04
     0.000000004,    -0.500000000,     0.000000000,-0.349372130E-07,-0.354745371E-05, 0.327903540E-06
   -28.451289796,    -0.500000000,     0.000000000,-0.823600130E-04, 0.776694075E-05,-0.175105512E-04
    49.881198984,    -0.000000000,     0.000000000, 0.106590886E-03, 0.145072455E-04,-0.559990471E-04
    49.881198984,    -0.500000000,     0.000000000, 0.106759398E-03, 0.136276615E-04,-0.552106645E-04
    49.881198984,     0.500000000,     0.000000000, 0.106418244E-03, 0.153895452E-04,-0.568000373E-04
    49.770509384,     0.099962340,     0.000000000, 0.106406958E-03, 0.146430258E-04,-0.560606092E-04
    49.659816914,     0.099962350,     0.000000000, 0.106256801E-03, 0.146022375E-04,-0.559630860E-04
    49.549118824,     0.099962370,     0.000000000, 0.106106349E-03, 0.145613570E-04,-0.558655751E-04
    49.438412914,     0.099962380,     0.000000000, 0.105955658E-03, 0.145203897E-04,-0.557680314E-04
    49.327696884,     0.099962390,     0.000000000, 0.105804755E-03, 0.144793430E-04,-0.556704189E-04
    49.216968244,     0.099962410,     0.000000000, 0.105653648E-03, 0.144382205E-04,-0.555727097E-04
    49.106224684,     0.099962420,     0.000000000, 0.105502345E-03, 0.143970249E-04,-0.554748816E-04
    48.995464334,     0.099962430,     0.000000000, 0.105350848E-03, 0.143557587E-04,-0.553769176E-04
    48.884682474,     0.099962450,     0.000000000, 0.105199153E-03, 0.143144218E-04,-0.552787993E-04
    48.773877914,     0.099962460,     0.000000000, 0.105047261E-03, 0.142730166E-04,-0.551805145E-04
    48.663049944,     0.099962480,     0.000000000, 0.104895173E-03, 0.142315431E-04,-0.550820568E-04
    48.552188994,     0.099962490,     0.000000000, 0.104742876E-03, 0.141899997E-04,-0.549834047E-04
    48.441225224,     0.099962500,     0.000000000, 0.104590274E-03, 0.141483614E-04,-0.548844911E-04
    48.330087474,     0.099962520,     0.000000000, 0.104437269E-03, 0.141066015E-04,-0.547852434E-04
    48.218740234,     0.099962530,     0.000000000, 0.104283811E-03, 0.140647088E-04,-0.546856240E-04
    48.107163934,     0.099962540,     0.000000000, 0.104129870E-03, 0.140226746E-04,-0.545856079E-04
