# 2838 eV
# 10 microns 
# Si with surface Normal 111
# 111 in Symmetric Bragg
DevAng[arcsec]	I0	errIo	P1	err(P1)	P2	err(P2)
-302.4	304.106	5.34	0.997009	0.03064	0.09938	0.02521
-201.6	295.391	6.525	0.987163	0.03842	0.128693	0.03176
-151.2	288.622	5.003	0.968080	0.02996	0.162185	0.02498
-100.8	273.739	4.289	0.927115	0.0267	0.216047	0.02269
-93.60	270.239	5.304	0.911648	0.03332	0.226031	0.02846
-86.40	266.114	4.286	0.895988	0.02721	0.235208	0.02337
-79.20	262.348	5.105	0.878642	0.03269	0.265529	0.02834
-72.00	259.657	5.686	0.852151	0.03649	0.292047	0.03201
-64.8	251.157	4.292	0.816419	0.02817	0.316528	0.02507
-57.6	244.803	5.285	0.765809	0.03506	0.370959	0.03194
-50.4	235.174	4.34	0.693746	0.0294	0.413714	0.02754
-46.8	229.852	3.512	0.655286	0.02407	0.433455	0.02287
-43.2	225.037	2.95	0.599959	0.0203	0.479964	0.019
-39.6	218.461	3.44	0.546065	0.02418	0.513047	0.024
-36.0	210.454	4.614	0.465950	0.03302	0.571018	0.0338
-32.4	204.242	2.401	0.382359	0.01743	0.620621	0.01835
-28.8	196.67	3.169	0.298586	0.02357	0.684966	0.02558
-25.2	190.261	3.77	0.213890	0.02869	0.754788	0.03208
-21.6	182.834	3.493	0.146873	0.0275	0.816281	0.03149
-18	178.813	3.636	0.102583	0.0292	0.874345	0.0341
-14.4	173.774	3.432	0.0749773	0.02833	0.898908	0.0334
-10.8	170.821	3.851	0.0517055	0.0323	0.927541	0.03846
-7.2	168.904	2.222	0.0353785	0.01884	0.927529	0.02244
-3.6	171.664	3.512	0.0136829	0.0293	0.911318	0.03472
0	180.111	3.23	-0.0274219	0.02569	0.831103	0.0297
3.6	197.78	3.3	-0.136882	0.02422	0.664333	0.0265
7.2	239.987	3.231	-0.319148	0.01975	0.388304	0.01998
10.8	292.826	3.795	-0.384244	0.01922	0.154925	0.01867
14.4	352.026	3.719	-0.36536	0.0156	-0.0364246	0.01514
18	393.575	5.876	-0.29834	0.02184	-0.145637	0.02149
21.6	420.366	4.178	-0.181121	0.01435	-0.215709	0.0144
25.2	428.719	3.664	-0.121511	0.01228	-0.237287	0.0124
28.8	438.199	4.687	-0.0356765	0.01532	-0.250166	0.01555
32.4	443.425	3.966	0.0846712	0.01283	-0.264738	0.01303
36	437.469	4.835	0.206452	0.01599	-0.265842	0.0161
39.6	432.897	3.889	0.331278	0.01321	-0.255751	0.01307
43.2	428.256	3.551	0.429980	0.0124	-0.244545	0.01205
46.8	419.82	3.801	0.513175	0.01377	-0.235667	0.01314
50.4	405.858	4.197	0.587451	0.01601	-0.219527	0.01498
54	396.653	4.582	0.647331	0.01816	-0.208526	0.01672
61.2	385.34	4.392	0.737982	0.01836	-0.183927	0.01646
68.4	378.971	4.999	0.793013	0.02159	-0.165314	0.01902
75.6	369.183	5.22	0.834258	0.02343	-0.148779	0.02036
100.8	358.669	4.505	0.894933	0.02121	-0.113963	0.01804
201.6	331.532	5.089	0.974761	0.02659	-0.0457168	0.02199
248.4	321.571	4.394	0.988741	0.02378	-0.03838	0.01957
252	316.857	5.455	0.995144	0.03003	-0.0170581	0.02466
306	311.936	5.019	0.998701	0.02809	-0.009314	0.02304
